email,username,password
batchuser1@gmail.com,batchuser1,batchuserpassword
batchuser1@gmail.com,batchuser1,batchuserpassword
batchuser1@gmail.com,batchuser1,batchuserpassword
batchuser1@gmail.com,batchuser1,batchuserpassword
batchuser1@gmail.com,batchuser1,batchuserpassword
batchuser1@gmail.com,batchuser1,batchuserpassword
batchuser1@gmail.com,batchuser1,batchuserpassword
batchuser1@gmail.com,batchuser1,batchuserpassword
batchuser1@gmail.com,batchuser1,batchuserpassword
batchuser1@gmail.com,batchuser1,batchuserpassword
batchuser1@gmail.com,batchuser1,batchuserpassword
batchuser1@gmail.com,batchuser1,batchuserpassword
batchuser1@gmail.com,batchuser1,batchuserpassword
batchuser1@gmail.com,batchuser1,batchuserpassword
batchuser1@gmail.com,batchuser1,batchuserpassword
batchuser1@gmail.com,batchuser1,batchuserpassword
batchuser1@gmail.com,batchuser1,batchuserpassword
batchuser1@gmail.com,batchuser1,batchuserpassword
batchuser1@gmail.com,batchuser1,batchuserpassword
